Number of Users,Action,Cost in ETH,Cost in USD (ETH),Cost in MATIC,Cost in USD (MATIC)
2,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
2,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
2,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
2,Select Service,0.0006248,1.158229248,2.291904022095633e-07,1.5584947350250304e-07
3,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
