Number of Users,Avg Latency Traditional,Avg Latency Hybrid,Avg Gas Traditional,Avg Gas Hybrid
2,0.046492695808410645,0.04645192623138428,42423.0,42423.0
3,0.046197096506754555,0.04634833335876465,32423.0,32423.0
4,0.04568380117416382,0.04512673616409302,31173.0,31173.0
5,0.046445274353027345,0.04339022636413574,30423.0,30423.0
6,0.05000678698221842,0.04708592096964518,29923.0,29923.0
7,0.04813320296151297,0.04688920293535505,29565.85714285714,29565.85714285714
8,0.04536786675453186,0.04649004340171814,29298.0,29298.0
9,0.045090119043986,0.04381934801737467,29089.666666666668,29089.666666666668
10,0.045386528968811034,0.044802737236022946,28923.0,28923.0
11,0.046811905774203216,0.04589191350069913,28786.636363636364,28786.636363636364
12,0.046683669090270996,0.043979028860727944,28673.0,28673.0
13,0.04875515057490422,0.046247702378493086,28576.846153846152,28576.846153846152
14,0.04647750513894217,0.04513144493103027,28494.428571428572,28494.428571428572
15,0.04702968597412109,0.04634957313537598,28423.0,28423.0
16,0.04796573519706726,0.05025097727775574,28360.5,28360.5
17,0.04979317328509163,0.04907871695125804,28305.352941176472,28305.352941176472
18,0.05759456422593859,0.051743255721198186,28256.333333333332,28256.333333333332
19,0.05318124670731394,0.05518799079091925,28212.473684210527,28212.473684210527
20,0.05455871820449829,0.05414106845855713,28173.0,28173.0
21,0.05432538759140741,0.05370832624889556,28137.285714285714,28137.285714285714
22,0.05606873468919234,0.05350309068506414,28104.81818181818,28104.81818181818
23,0.05714982488880987,0.05391932570415994,28075.17391304348,28075.17391304348
24,0.054267297188440956,0.05758535861968994,28048.0,28048.0
25,0.060761728286743165,0.05831336975097656,28023.0,28023.0
26,0.05865400571089525,0.05681839356055626,27999.923076923078,27999.923076923078
27,0.05976893283702709,0.06076477192066334,27978.555555555555,27978.555555555555
28,0.05968464272362845,0.05930553163800921,27958.714285714286,27958.714285714286
29,0.06282563867240117,0.060898493076192925,27940.241379310344,27940.241379310344
30,0.05966849327087402,0.06123972733815511,27923.0,27923.0
31,0.06178041427366195,0.06234201308219663,27906.870967741936,27906.870967741936
32,0.06133953481912613,0.059474214911460876,27891.75,27891.75
33,0.06508619135076349,0.06339909813620827,27877.545454545456,27877.545454545456
34,0.0654903580160702,0.06244047249064726,27864.176470588234,27864.176470588234
35,0.06590348652430943,0.06431360925946916,27851.571428571428,27851.571428571428
36,0.06625419192843968,0.06725258959664239,27839.666666666668,27839.666666666668
37,0.06909868523881242,0.06818121188395732,27828.405405405407,27828.405405405407
38,0.07700956495184648,0.07524315307014867,27817.736842105263,27817.736842105263
39,0.07375778296054938,0.07316758082463191,27807.615384615383,27807.615384615383
40,0.07720281481742859,0.07517712116241455,27798.0,27798.0
41,0.07395216895312798,0.07400014923840034,27788.853658536584,27788.853658536584
42,0.07576725028810047,0.07393997056143624,27780.14285714286,27780.14285714286
43,0.07703738434370173,0.075803374135217,27771.837209302324,27771.837209302324
44,0.07762865586714311,0.07621865380894054,27763.909090909092,27763.909090909092
45,0.07830572128295898,0.07703208923339844,27756.333333333332,27756.333333333332
46,0.08108188276705534,0.0772960496985394,27749.08695652174,27749.08695652174
47,0.0828520693677537,0.08112606596439442,27742.14893617021,27742.14893617021
48,0.08218247691790263,0.08275231222311656,27735.5,27735.5
49,0.08897176567389041,0.08833847727094378,27729.122448979593,27729.122448979593
50,0.08922499179840088,0.08714432716369629,27723.0,27723.0
